token,timestamp,gross_transfer_volume,num_transfers
DAI,2022-04-01 11:00:00+00:00,21742188.55226764,333
DAI,2022-04-01 12:00:00+00:00,155562534.0583438,527
DAI,2022-04-01 13:00:00+00:00,83952490.42469591,563
DAI,2022-04-01 14:00:00+00:00,34165767.84457955,502
DAI,2022-04-01 15:00:00+00:00,28865607.07961417,540
DAI,2022-04-01 16:00:00+00:00,27765782.524652544,470
DAI,2022-04-01 17:00:00+00:00,23616491.374145474,413
DAI,2022-04-01 18:00:00+00:00,22447483.197105147,403
DAI,2022-04-01 19:00:00+00:00,32711161.457092836,397
DAI,2022-04-01 20:00:00+00:00,38427907.22999189,361
DAI,2022-04-01 21:00:00+00:00,17319151.788471475,360
DAI,2022-04-01 22:00:00+00:00,26863112.16387571,347
DAI,2022-04-01 23:00:00+00:00,14785042.283473933,360
DAI,2022-04-02 00:00:00+00:00,23593299.54849174,399
DAI,2022-04-02 01:00:00+00:00,26333869.297822006,461
DAI,2022-04-02 02:00:00+00:00,32505855.98062485,349
DAI,2022-04-02 03:00:00+00:00,33306262.054491855,367
DAI,2022-04-02 04:00:00+00:00,52675533.11845027,309
DAI,2022-04-02 05:00:00+00:00,11648008.287390854,354
DAI,2022-04-02 06:00:00+00:00,15066363.446866719,351
DAI,2022-04-02 07:00:00+00:00,13899243.773661627,283
DAI,2022-04-02 08:00:00+00:00,9527784.250846157,406
DAI,2022-04-02 09:00:00+00:00,29693175.17140742,353
DAI,2022-04-02 10:00:00+00:00,25735654.663551923,433
DAI,2022-04-02 11:00:00+00:00,31096308.460456397,395
DAI,2022-04-02 12:00:00+00:00,58698543.85154502,585
DAI,2022-04-02 13:00:00+00:00,24236100.815040153,557
DAI,2022-04-02 14:00:00+00:00,39680749.20364259,597
DAI,2022-04-02 15:00:00+00:00,29877023.48835126,431
DAI,2022-04-02 16:00:00+00:00,3575978.120616561,112
PAX,2022-04-01 11:00:00+00:00,636414.5850112083,6
PAX,2022-04-01 12:00:00+00:00,1827826.141723051,20
PAX,2022-04-01 13:00:00+00:00,567624.0291024604,22
PAX,2022-04-01 14:00:00+00:00,44785329.52175038,28
PAX,2022-04-01 15:00:00+00:00,791814.834982699,15
PAX,2022-04-01 16:00:00+00:00,3940527.1601674827,11
PAX,2022-04-01 17:00:00+00:00,5618128.1964526,27
PAX,2022-04-01 18:00:00+00:00,6724121.951854461,13
PAX,2022-04-01 19:00:00+00:00,125495.31234283949,15
PAX,2022-04-01 20:00:00+00:00,2742861.8916239804,17
PAX,2022-04-01 21:00:00+00:00,329463.73123102,7
PAX,2022-04-01 22:00:00+00:00,89334.4557454015,7
PAX,2022-04-01 23:00:00+00:00,3629.956622,3
PAX,2022-04-02 00:00:00+00:00,442733.76541200717,8
PAX,2022-04-02 01:00:00+00:00,3636528.9978355546,9
PAX,2022-04-02 02:00:00+00:00,418136.56343082426,10
PAX,2022-04-02 03:00:00+00:00,384930.98,7
PAX,2022-04-02 04:00:00+00:00,450909.2793638947,6
PAX,2022-04-02 05:00:00+00:00,1986870.1413163047,8
PAX,2022-04-02 06:00:00+00:00,2994.86785896343,3
PAX,2022-04-02 07:00:00+00:00,147847.42580756577,10
PAX,2022-04-02 08:00:00+00:00,184093.93918485998,5
PAX,2022-04-02 09:00:00+00:00,42316.7297321277,5
PAX,2022-04-02 10:00:00+00:00,913562.89509438,3
PAX,2022-04-02 11:00:00+00:00,26039.531270940002,5
PAX,2022-04-02 12:00:00+00:00,198629.08041745337,8
PAX,2022-04-02 13:00:00+00:00,881466.5196374246,6
PAX,2022-04-02 14:00:00+00:00,16109.991563619857,5
PAX,2022-04-02 15:00:00+00:00,409188.1010475772,16
USDC,2022-04-01 11:00:00+00:00,228255872.670685,1873
USDC,2022-04-01 12:00:00+00:00,537261583.834764,3228
USDC,2022-04-01 13:00:00+00:00,422997344.410507,3231
USDC,2022-04-01 14:00:00+00:00,459102534.588538,3330
USDC,2022-04-01 15:00:00+00:00,554519137.851282,3210
USDC,2022-04-01 16:00:00+00:00,677578144.179288,3459
USDC,2022-04-01 17:00:00+00:00,505249043.84611297,3152
USDC,2022-04-01 18:00:00+00:00,837842753.562266,3137
USDC,2022-04-01 19:00:00+00:00,976640642.987869,2899
USDC,2022-04-01 20:00:00+00:00,324743534.542738,2598
USDC,2022-04-01 21:00:00+00:00,173336675.770761,2490
USDC,2022-04-01 22:00:00+00:00,185103698.269194,2484
USDC,2022-04-01 23:00:00+00:00,116094834.719437,2328
USDC,2022-04-02 00:00:00+00:00,192275738.535213,2806
USDC,2022-04-02 01:00:00+00:00,254644884.08966,2852
USDC,2022-04-02 02:00:00+00:00,208787419.594458,2529
USDC,2022-04-02 03:00:00+00:00,146527811.886873,2303
USDC,2022-04-02 04:00:00+00:00,111679169.00399,2295
USDC,2022-04-02 05:00:00+00:00,314173601.658233,1920
USDC,2022-04-02 06:00:00+00:00,208774525.439184,1807
USDC,2022-04-02 07:00:00+00:00,187523874.436193,2024
USDC,2022-04-02 08:00:00+00:00,125969829.70102699,1929
USDC,2022-04-02 09:00:00+00:00,94485477.380339,1920
USDC,2022-04-02 10:00:00+00:00,108254037.667155,2221
USDC,2022-04-02 11:00:00+00:00,148491565.743509,2141
USDC,2022-04-02 12:00:00+00:00,220937122.145029,2508
USDC,2022-04-02 13:00:00+00:00,133406553.206891,2517
USDC,2022-04-02 14:00:00+00:00,184630099.33159,2956
USDC,2022-04-02 15:00:00+00:00,268209928.838316,2714
USDC,2022-04-02 16:00:00+00:00,54920878.303372,880
USDT,2022-04-01 11:00:00+00:00,387148119.628957,3689
USDT,2022-04-01 12:00:00+00:00,471772132.833014,4929
USDT,2022-04-01 13:00:00+00:00,310475346.943013,4983
USDT,2022-04-01 14:00:00+00:00,343075811.735523,5311
USDT,2022-04-01 15:00:00+00:00,326401900.370645,4759
USDT,2022-04-01 16:00:00+00:00,320235703.609613,4637
USDT,2022-04-01 17:00:00+00:00,234344804.520416,3946
USDT,2022-04-01 18:00:00+00:00,199783565.491523,3833
USDT,2022-04-01 19:00:00+00:00,106335316.603623,3638
USDT,2022-04-01 20:00:00+00:00,109763344.008002,2939
USDT,2022-04-01 21:00:00+00:00,70077514.472202,2800
USDT,2022-04-01 22:00:00+00:00,97719069.451335,2650
USDT,2022-04-01 23:00:00+00:00,135755484.727636,2393
USDT,2022-04-02 00:00:00+00:00,218956981.981095,2849
USDT,2022-04-02 01:00:00+00:00,133626705.704817,2851
USDT,2022-04-02 02:00:00+00:00,89484481.607184,3559
USDT,2022-04-02 03:00:00+00:00,134832753.671991,2904
USDT,2022-04-02 04:00:00+00:00,122175738.749659,3951
USDT,2022-04-02 05:00:00+00:00,87506128.839592,3010
USDT,2022-04-02 06:00:00+00:00,90231221.374486,2992
USDT,2022-04-02 07:00:00+00:00,100342112.169199,3272
USDT,2022-04-02 08:00:00+00:00,108847659.374367,4193
USDT,2022-04-02 09:00:00+00:00,144434796.389549,3338
USDT,2022-04-02 10:00:00+00:00,168968854.82742602,3745
USDT,2022-04-02 11:00:00+00:00,210765570.950807,3707
USDT,2022-04-02 12:00:00+00:00,143980553.45125,4047
USDT,2022-04-02 13:00:00+00:00,145160915.455786,3803
USDT,2022-04-02 14:00:00+00:00,114416980.440298,3999
USDT,2022-04-02 15:00:00+00:00,119151026.593761,3891
USDT,2022-04-02 16:00:00+00:00,26661825.399018,1278
USTC,2022-04-01 11:00:00+00:00,10582208.32901672,71
USTC,2022-04-01 12:00:00+00:00,4988686.402436288,72
USTC,2022-04-01 13:00:00+00:00,192663947.09521794,237
USTC,2022-04-01 14:00:00+00:00,32746745.44486657,173
USTC,2022-04-01 15:00:00+00:00,15050070.997033972,128
USTC,2022-04-01 16:00:00+00:00,9989593.62465184,115
USTC,2022-04-01 17:00:00+00:00,15662605.550203538,102
USTC,2022-04-01 18:00:00+00:00,19629965.627617802,146
USTC,2022-04-01 19:00:00+00:00,11305035.5556446,99
USTC,2022-04-01 20:00:00+00:00,12347509.17901317,110
USTC,2022-04-01 21:00:00+00:00,5276245.459959123,97
USTC,2022-04-01 22:00:00+00:00,17149625.267559156,71
USTC,2022-04-01 23:00:00+00:00,15934334.982532455,89
USTC,2022-04-02 00:00:00+00:00,3900360.7170664007,80
USTC,2022-04-02 01:00:00+00:00,40125515.378096715,127
USTC,2022-04-02 02:00:00+00:00,12540584.264572911,122
USTC,2022-04-02 03:00:00+00:00,6147928.784386783,107
USTC,2022-04-02 04:00:00+00:00,20973607.962366153,80
USTC,2022-04-02 05:00:00+00:00,5645064.507534779,72
USTC,2022-04-02 06:00:00+00:00,1537189.5863877395,62
USTC,2022-04-02 07:00:00+00:00,1475287.3474537346,85
USTC,2022-04-02 08:00:00+00:00,70139953.66442944,70
USTC,2022-04-02 09:00:00+00:00,4985025.735798695,99
USTC,2022-04-02 10:00:00+00:00,19997200.1420527,147
USTC,2022-04-02 11:00:00+00:00,989181.946705332,76
USTC,2022-04-02 12:00:00+00:00,4787258.477122885,108
USTC,2022-04-02 13:00:00+00:00,6550567.575477708,116
USTC,2022-04-02 14:00:00+00:00,7556279.7769239005,115
USTC,2022-04-02 15:00:00+00:00,9388636.051632503,105
USTC,2022-04-02 16:00:00+00:00,704947.8711585181,32
WLUNA,2022-04-01 11:00:00+00:00,2083.872417903493,18
WLUNA,2022-04-01 12:00:00+00:00,240.14369991379778,10
WLUNA,2022-04-01 13:00:00+00:00,2458.254712028813,17
WLUNA,2022-04-01 14:00:00+00:00,781.9366454814709,19
WLUNA,2022-04-01 15:00:00+00:00,119160.42025300597,34
WLUNA,2022-04-01 16:00:00+00:00,45425.56440942519,24
WLUNA,2022-04-01 17:00:00+00:00,174.80152452146478,9
WLUNA,2022-04-01 18:00:00+00:00,14544.47024391721,26
WLUNA,2022-04-01 19:00:00+00:00,1254.5674233234827,13
WLUNA,2022-04-01 20:00:00+00:00,465.3231159,14
WLUNA,2022-04-01 21:00:00+00:00,1602.61753388,19
WLUNA,2022-04-01 22:00:00+00:00,1978.6559003269224,9
WLUNA,2022-04-01 23:00:00+00:00,10880.821299955958,29
WLUNA,2022-04-02 00:00:00+00:00,1275.4915882496741,30
WLUNA,2022-04-02 01:00:00+00:00,963.8666378529009,12
WLUNA,2022-04-02 02:00:00+00:00,1179.9320733311533,22
WLUNA,2022-04-02 03:00:00+00:00,1804.2611542775592,11
WLUNA,2022-04-02 04:00:00+00:00,6001.556234762146,21
WLUNA,2022-04-02 05:00:00+00:00,2478.442725804394,34
WLUNA,2022-04-02 06:00:00+00:00,4318.682578949706,16
WLUNA,2022-04-02 07:00:00+00:00,48027.95779394302,21
WLUNA,2022-04-02 08:00:00+00:00,942.2955546380274,14
WLUNA,2022-04-02 09:00:00+00:00,6575.6817477971645,30
WLUNA,2022-04-02 10:00:00+00:00,11362.067091708144,33
WLUNA,2022-04-02 11:00:00+00:00,9093.882684694758,10
WLUNA,2022-04-02 12:00:00+00:00,9456.240331356888,33
WLUNA,2022-04-02 13:00:00+00:00,9200.06105249306,26
WLUNA,2022-04-02 14:00:00+00:00,5617.276057118939,22
WLUNA,2022-04-02 15:00:00+00:00,13306.10765269565,32
WLUNA,2022-04-02 16:00:00+00:00,14763.090898352497,19
